2023-02-10 13:02:55 - Starting VsatApplication using Java 18.0.2 with PID 19880 (C:\Users\svsmirnov\Desktop\vsat\target\classes started by svsmirnov in C:\Users\svsmirnov\Desktop\vsat)
2023-02-10 13:02:55 - No active profile set, falling back to 1 default profile: "default"
2023-02-10 13:02:56 - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-02-10 13:02:56 - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-02-10 13:03:00 - Tomcat initialized with port(s): 8088 (http)
2023-02-10 13:03:00 - Starting service [Tomcat]
2023-02-10 13:03:00 - Starting Servlet engine: [Apache Tomcat/10.1.4]
2023-02-10 13:03:00 - Initializing Spring embedded WebApplicationContext
2023-02-10 13:03:00 - Root WebApplicationContext: initialization completed in 4604 ms
2023-02-10 13:03:36 - 10.2.74.1 - Error: Response PDU is null
2023-02-10 13:03:36 - 10.2.38.1 - Error: Response PDU is null
2023-02-10 13:03:36 - 10.2.175.1 - Error: Response PDU is null
2023-02-10 13:03:36 - 10.2.214.1 - Error: Response PDU is null
2023-02-10 13:03:37 - 10.2.156.1 - Error: Response PDU is null
2023-02-10 13:03:37 - 10.2.18.1 - Error: Response PDU is null
2023-02-10 13:03:38 - 10.2.116.1 - Error: Response PDU is null
2023-02-10 13:03:39 - 10.2.39.1 - Error: Response PDU is null
2023-02-10 13:03:39 - 10.2.215.1 - Error: Response PDU is null
2023-02-10 13:03:40 - 10.2.58.1 - Error: Response PDU is null
2023-02-10 13:03:40 - 10.2.157.1 - Error: Response PDU is null
2023-02-10 13:03:40 - 10.2.136.1 - Error: Response PDU is null
2023-02-10 13:03:41 - 10.2.217.1 - Error: Response PDU is null
2023-02-10 13:03:41 - 10.2.117.1 - Error: Response PDU is null
2023-02-10 13:03:42 - 10.2.21.1 - Error: Response PDU is null
2023-02-10 13:03:42 - 10.2.98.1 - Error: Response PDU is null
2023-02-10 13:03:43 - 10.2.178.1 - Error: Response PDU is null
2023-02-10 13:03:43 - 10.2.59.1 - Error: Response PDU is null
2023-02-10 13:03:43 - 10.2.158.1 - Error: Response PDU is null
2023-02-10 13:03:45 - 10.2.138.1 - Error: Response PDU is null
2023-02-10 13:03:45 - 10.2.99.1 - Error: Response PDU is null
2023-02-10 13:03:46 - 10.2.198.1 - Error: Response PDU is null
2023-02-10 13:03:46 - 10.2.179.1 - Error: Response PDU is null
